date,pays,Ligue,id_ligue,nom_club,id_club,id_joueur,nom,nationalité,age(saison correspondante),id_stats,Matches_Played,Minutes*,Goals,Shots,OnTarget,Ratio but par match
2016,England,Premier League,1,(MNC),58,204,Sergio Aguero,Argentine,28,72,25,2444,21,139,51,"0,84"
2016,England,Premier League,1,(TOT),88,208,Son Heung-Min,Sud-Coréen,24,73,23,2174,14,80,33,"0,608695652"
2016,Germany,Bundesliga,2,(CHE),22,214,Timo Werner,Allemand,20,74,28,2496,21,74,50,"0,75"
2016,Germany,Bundesliga,2,(SCH),78,215,Vedad Ibisevic,Bosniaque,32,75,32,2772,12,72,46,"0,375"
2016,Spain,La Liga,4,(SOC),81,218,Willian Jose,Brésilienne,25,76,27,2102,12,69,29,"0,444444444"
2016,Spain,La Liga,4,(MON),60,219,Wissam Ben Yedder,Française,26,77,20,1735,11,44,23,"0,55"
2016,England,Premier League,1,(ACM),1,222,Zlatan Ibrahimovic,Suédois,35,78,27,2578,17,115,45,"0,62962963"
2017,Germany,Bundesliga,2,(FCA),30,8,Alfred Finnbogason,Islandaise,28,79,22,1879,12,51,25,"0,545454545"
2017,Italy,Serie A,3,(TOR),87,10,Andrea Belotti,Italienne,24,80,29,2854,10,86,28,"0,344827586"
2017,Germany,Bundesliga,2,(HOF),39,13,Andrej Kramaric,Croate,26,81,22,2353,13,83,35,"0,590909091"
2017,Spain,La Liga,4,(GET),34,16,Angel Rodriguez,Espagnole,30,82,26,2390,13,68,31,"0,5"
2017,Spain,La Liga,4,(BAR),7,21,Antoine Griezmann,Française,26,83,30,2596,19,72,40,"0,633333333"
2017,Spain,La Liga,4,(VIL),94,30,Carlos Bacca,Colombienne,31,84,30,2572,15,73,34,"0,5"
2017,Italy,Serie A,3,(LAZ),46,37,Ciro Immobile,Italienne,27,85,33,2799,29,110,53,"0,878787879"
2017,Spain,La Liga,4,(GIR),35,38,Cristhian Stuani,Uruguayenne,31,86,32,2785,21,74,37,"0,65625"
2017,Spain,La Liga,4,(JUV),43,39,Cristiano Ronaldo,Portugaise,32,87,27,2375,26,178,76,"0,962962963"
2017,Germany,Bundesliga,2,(VfB),93,41,Daniel Didavi,Allemande,27,88,26,2312,9,55,19,"0,346153846"
2017,Germany,Bundesliga,2,(SVW),86,44,Davie Selke,Allemande,22,89,19,1974,10,47,22,"0,526315789"
2017,Italy,Serie A,3,(NAP),63,52,Dries Mertens,Belge,30,90,35,3133,18,128,47,"0,514285714"
2017,Italy,Serie A,3,(ATA),5,53,Duvan Zapata,Colombienne,26,91,24,2229,11,57,22,"0,458333333"
2017,Italy,Serie A,3,(ROM),74,55,Edin Dzeko,Bosnienne,31,92,33,3177,16,152,56,"0,484848485"
2017,Italy,Serie A,3,(SAM),75,60,Fabio Quagliarella,Italienne,34,93,33,2864,19,113,46,"0,575757576"
2017,Spain,La Liga,4,(TOT),88,72,Gareth Bale,Galloise,28,94,20,1872,16,77,32,"0,8"
2017,Spain,La Liga,4,(VIL),94,73,Gerard Moreno,Espagnole,25,95,38,3555,16,105,47,"0,421052632"
2017,Italy,Serie A,3,(CAG),19,76,Giovanni Simeone,Argentine,22,96,36,3157,14,107,37,"0,388888889"
2017,Italy,Serie A,3,(IMI),41,78,Gonzalo Higuain,Argentine,30,97,32,2935,16,102,40,"0,5"
2017,Germany,Bundesliga,2,(STP),84,80,Guido Burgstaller,Autrichienne,28,98,24,2447,11,55,25,"0,458333333"
2017,Spain,La Liga,4,(CEL),21,84,Iago Aspas,Espagnole,30,99,33,3053,22,94,43,"0,666666667"
2017,Italy,Serie A,3,(BEN),9,85,Iago Falque,Espagnole,28,100,34,2950,12,76,22,"0,352941176"
2017,Italy,Serie A,3,(INT),42,90,Ivan Perisic,Croate,28,101,37,3491,11,116,38,"0,297297297"
2017,Germany,Bundesliga,2,(NAN),62,96,Jean-Kevin Augustin,Française,20,102,14,1330,9,37,18,"0,642857143"
2017,Italy,Serie A,3,(FIO),31,103,Jose Callejon,Espagnole,30,103,38,3359,10,64,32,"0,263157895"
2017,Italy,Serie A,3,(ATA),5,106,Josip Ilicic,Slovène,29,104,21,2115,11,89,36,"0,523809524"
2017,Germany,Bundesliga,2,(DOR),25,108,Julian Brandt,Allemande,21,105,26,2419,9,43,22,"0,346153846"
2017,Italy,Serie A,3,(UDI),89,115,Kevin Lasagna,Italienne,25,106,26,2244,12,72,31,"0,461538462"
2017,Germany,Bundesliga,2,(MON),60,116,Kevin Volland,Allemande,25,107,30,2693,14,55,28,"0,466666667"
2017,Germany,Bundesliga,2,(LEV),51,122,Leon Bailey,Jamaïcaine,20,108,25,2317,9,76,27,"0,36"
2017,Italy,Serie A,3,(CAG),19,123,Leonardo Pavoletti,Italienne,29,109,31,2897,11,87,34,"0,35483871"
2017,Spain,La Liga,4,(BAR),7,124,Lionel Messi,Argentine,30,110,32,3123,33,197,95,"1,03125"
2017,Italy,Serie A,3,(LAZ),46,131,Luis Alberto,Espagnole,25,111,32,2797,11,81,25,"0,34375"
2017,Spain,La Liga,4,(ATL),6,133,Luis Suarez,Uruguayenne,30,112,32,3008,25,121,55,"0,78125"
2017,Germany,Bundesliga,2,(SCH),78,144,Mark Uth,Allemande,26,113,24,2279,14,54,21,"0,583333333"
2017,Italy,Serie A,3,(PSG),69,145,Mauro Icardi,Argentine,24,114,34,3096,29,101,53,"0,852941176"
2017,Spain,La Liga,4,(VAL),91,148,Maxi Gomez,Uruguayenne,21,115,35,3168,18,83,37,"0,514285714"
2017,Germany,Bundesliga,2,(FCA),30,151,Michael Gregoritsch,Autrichienne,23,116,30,2626,13,92,36,"0,433333333"
2017,Spain,La Liga,4,(SOC),81,153,Mikel Oyarzabal,Espagnole,20,117,31,2864,12,65,32,"0,387096774"
2017,Italy,Serie A,3,(BAR),7,154,Mirco Antenucci,Italienne,33,118,28,2735,11,65,26,"0,392857143"
2017,Spain,La Liga,4,(LEV),51,156,Morales,Espagnole,30,119,35,3180,10,61,25,"0,285714286"
2017,Spain,La Liga,4,(SEV),79,159,Munir,Espagnole,22,120,28,2517,10,62,23,"0,357142857"
2017,Germany,Bundesliga,2,(SVW),86,161,Niclas Fullkrug,Allemande,24,121,26,2507,14,87,33,"0,538461538"
2017,Germany,Bundesliga,2,(SCF),77,164,Nils Petersen,Allemande,29,122,24,2362,15,63,24,"0,625"
2017,Italy,Serie A,3,(JUV),43,171,Paulo Dybala,Argentine,24,123,26,2407,22,114,45,"0,846153846"
